Accel X,Accel Y,Accel Z,MoCap X,Mocap Y,Mocap Z,Classification
-1.478569,0.847214,-0.248734,2.271700,1.232600,-0.441900,1
-1.439342,0.847214,-0.248734,2.271600,1.232700,-0.441900,1
-1.439342,0.847214,-0.248734,2.271500,1.232700,-0.441900,1
-1.400115,0.807987,-0.248734,2.271300,1.232800,-0.441900,1
-1.360889,0.729534,-0.287961,2.271200,1.232800,-0.441900,1
-1.360889,0.729534,-0.287961,2.271100,1.232900,-0.441900,1
-1.243209,0.651081,-0.327188,2.270900,1.232900,-0.441900,1
-1.125529,0.651081,-0.287961,2.270800,1.233000,-0.442000,1
-1.203982,0.925667,-0.248734,2.270600,1.233000,-0.442000,1
-1.282436,1.004120,-0.248734,2.270500,1.233000,-0.442000,1
-1.282436,1.043347,-0.209508,2.270300,1.233000,-0.442100,1
-1.282436,1.043347,-0.209508,2.270100,1.232900,-0.442100,1
-1.243209,1.043347,-0.170281,2.269900,1.233000,-0.442100,1
-1.243209,1.043347,-0.248734,2.269700,1.233000,-0.442200,1
-1.243209,1.043347,-0.248734,2.269500,1.233000,-0.442200,1
-1.282436,1.043347,-0.248734,2.269300,1.233100,-0.442400,1
-1.282436,1.004120,-0.248734,2.269000,1.233100,-0.442400,1
-1.243209,0.925667,-0.248734,2.268800,1.233100,-0.442500,1
-1.203982,0.886441,-0.248734,2.268600,1.233100,-0.442600,1
-1.203982,0.886441,-0.248734,2.268300,1.233100,-0.442700,1
-1.164756,0.886441,-0.209508,2.268000,1.233100,-0.442800,1
-1.125529,0.925667,-0.287961,2.267700,1.233000,-0.442800,1
-1.125529,0.925667,-0.287961,2.267300,1.233000,-0.442900,1
-1.164756,0.925667,-0.170281,2.267000,1.233000,-0.442900,1
-1.125529,0.964894,-0.209508,2.266800,1.233000,-0.443000,1
-1.125529,1.004120,-0.170281,2.266500,1.232900,-0.443000,1
-1.125529,1.004120,-0.170281,2.266200,1.232900,-0.443100,1
-1.125529,1.082574,-0.170281,2.266000,1.232800,-0.443100,1
-1.164756,1.082574,-0.170281,2.265800,1.232800,-0.443100,1
-1.164756,1.082574,-0.170281,2.265500,1.232700,-0.443100,1
-1.125529,1.082574,-0.209508,2.265300,1.232600,-0.443100,1
-1.164756,0.964894,-0.248734,2.265100,1.232500,-0.443100,1
-1.203982,0.886441,-0.248734,2.264900,1.232400,-0.443100,1
-1.164756,0.807987,-0.209508,2.264800,1.232400,-0.443200,1
-1.164756,0.807987,-0.209508,2.264600,1.232300,-0.443200,1
-1.125529,0.807987,-0.170281,2.264400,1.232300,-0.443200,1
-1.164756,0.807987,-0.209508,2.264300,1.232200,-0.443300,1
-1.164756,0.807987,-0.209508,2.264200,1.232200,-0.443300,1
-1.164756,0.847214,-0.248734,2.264100,1.232200,-0.443300,1
-1.164756,0.886441,-0.209508,2.264000,1.232100,-0.443400,1
-1.164756,0.886441,-0.209508,2.263900,1.232100,-0.443400,1
-1.203982,0.964894,-0.209508,2.263800,1.232100,-0.443500,1
-1.243209,0.925667,-0.209508,2.263700,1.232100,-0.443600,1
-1.243209,0.886441,-0.170281,2.263700,1.232100,-0.443600,1
-1.243209,0.886441,-0.170281,2.263600,1.232100,-0.443700,1
-1.203982,0.807987,-0.209508,2.263600,1.232000,-0.443700,1
-1.243209,0.807987,-0.327188,2.263600,1.232100,-0.443800,1
-1.243209,0.807987,-0.209508,2.263600,1.232100,-0.443900,1
-1.164756,0.847214,-0.287961,2.263600,1.232200,-0.444100,1
